terrain,distance_km,material_tons,wall_length_m,wall_height_m,fuel_liters,labor_hours,total_cost,vehicle_count
1,47.02,44.5,19.74,2.27,117.44,534.58,329936,2
1,17.91,1.77,37.11,0.95,19.72,99.87,29392,1
1,48.24,24.2,35.63,4.66,76.43,570.18,235313,1
1,2.79,22.94,21.58,2.22,53.78,325.38,180786,1
0,11.09,39.63,19.16,1.85,88.26,468.83,292545,2
1,31.21,8.98,45.21,1.78,39.74,244.01,94154,1
1,19.42,30.09,39.14,4.31,72.11,634.37,278246,1
0,19.5,10.34,34.56,1.25,28.65,182.95,88635,1
0,28.28,12.56,24.55,4.28,39.0,323.17,128214,1
0,7.55,36.7,38.65,1.9,77.83,504.77,285453,1
1,9.13,23.28,42.41,1.54,54.97,366.56,190211,1
1,26.59,47.88,23.46,1.83,115.71,565.14,353380,2
1,49.79,28.67,24.12,2.32,86.32,402.66,224810,2
0,17.9,28.86,7.14,5.28,65.89,369.18,218393,1
0,9.06,46.96,35.19,5.57,100.9,863.22,408058,2
0,48.24,35.85,31.67,1.61,97.94,456.4,270531,2
1,43.16,5.03,9.6,3.26,38.55,114.18,48677,1
1,13.05,42.56,4.96,4.81,97.6,482.49,310069,2
1,41.25,8.18,37.69,0.12,41.98,92.96,60054,1
1,14.54,44.14,2.03,4.57,102.54,455.1,312021,2
0,8.1,10.15,25.56,2.37,22.9,225.05,95863,1
0,16.47,31.35,8.97,4.78,70.25,393.4,236047,1
0,22.17,25.71,25.45,2.01,62.24,364.27,201515,1
0,32.94,20.5,4.04,4.77,56.81,243.06,152006,1
0,19.21,48.81,12.35,3.12,110.42,562.68,357147,2
0,29.05,15.91,43.37,4.53,50.25,555.52,191594,1
1,25.49,31.45,20.2,2.05,78.31,391.02,236013,1
0,27.61,6.91,17.11,2.66,29.77,155.82,66079,1
1,40.43,12.05,29.05,5.67,51.93,450.46,151233,1
0,13.07,43.43,30.37,2.5,89.52,589.91,335822,2
1,49.5,33.6,5.39,2.96,96.72,367.24,241707,2
0,39.64,23.99,9.71,0.88,68.21,256.02,171322,1
0,11.22,3.45,7.71,4.68,13.6,114.93,41214,1
1,35.02,0.56,23.1,2.4,24.32,108.12,24973,1
0,24.8,9.98,9.7,0.18,33.23,93.18,69403,1
0,41.28,19.96,19.24,3.66,58.55,338.96,167773,1
1,28.04,45.55,26.2,0.72,111.0,483.94,325389,2
0,18.14,31.9,38.85,2.89,72.53,537.13,267575,1
1,18.43,46.28,25.28,1.47,107.97,535.08,338769,2
1,47.98,12.75,21.86,1.69,55.56,201.8,104719,1
0,28.55,27.69,33.19,5.38,66.9,634.03,265820,1
1,43.66,0.98,36.13,0.6,30.25,47.72,15096,1
0,8.42,28.47,32.51,4.61,61.39,581.75,259370,1
0,13.72,30.74,44.98,5.03,66.77,760.93,306589,1
1,12.1,35.59,10.32,5.01,85.6,461.46,271230,2
1,29.87,11.2,45.76,4.8,44.29,544.63,165562,1
0,25.16,27.01,10.84,2.14,64.37,319.57,199402,1
1,14.7,14.6,33.69,3.46,45.35,379.35,149344,1
0,19.4,40.77,44.26,2.99,89.35,672.98,339260,2
0,8.74,19.8,12.25,0.64,44.25,203.35,140472,1
0,15.82,23.3,36.12,1.36,55.55,332.3,183194,1
1,48.36,16.8,39.44,3.41,63.08,439.35,172479,1
1,10.93,19.78,2.15,2.61,48.4,212.84,142398,1
0,32.54,16.42,1.08,0.85,44.98,165.74,115718,1
1,47.59,1.89,7.48,1.32,32.67,28.79,15354,1
0,27.35,46.64,44.61,5.92,105.97,990.53,431527,2
1,27.86,28.99,39.48,4.54,76.4,651.69,276330,1
1,32.25,38.03,46.29,2.06,93.35,561.31,302575,2
1,16.53,26.91,2.32,5.46,68.36,294.75,193673,1
0,24.92,39.22,49.94,3.01,92.92,694.79,335186,2
0,45.15,22.7,11.83,2.84,71.97,292.59,172765,1
1,34.26,21.54,28.63,4.56,65.26,478.36,204223,1
1,24.69,33.11,14.42,4.25,85.35,448.54,255363,2
0,40.94,11.32,23.35,0.54,39.74,144.81,86070,1
0,36.0,22.61,24.76,1.65,62.62,304.8,174935,1
1,13.36,4.51,39.73,4.8,25.88,425.85,108361,1
0,38.82,32.17,13.26,1.59,81.82,365.58,234688,2
1,13.43,39.26,45.01,5.49,92.01,882.44,373798,2
1,40.71,42.12,15.89,2.4,109.13,489.89,309216,2
1,2.73,40.64,16.18,4.47,87.97,551.11,313897,2
0,4.65,42.31,10.8,3.57,88.58,498.07,311719,2
1,21.53,5.26,46.74,5.25,27.51,547.66,135939,1
1,47.81,29.34,16.67,0.0,88.22,299.74,207518,2
0,35.96,30.39,28.19,2.95,79.15,475.88,247730,1
1,45.55,21.6,14.76,2.62,70.96,299.14,168024,1
0,1.22,13.46,26.17,3.86,33.92,336.12,135259,1
0,19.43,43.62,32.85,4.08,95.27,712.51,360973,2
1,32.95,31.0,35.47,1.33,85.51,401.43,235669,2
1,30.25,4.46,0.89,1.53,29.6,45.41,32026,1
1,12.26,24.59,20.62,0.71,56.63,287.28,180554,1
0,8.53,42.57,42.73,0.66,91.7,473.91,308128,2
1,9.54,24.83,1.23,4.62,60.06,263.86,177625,1
0,9.32,25.21,14.8,0.62,52.48,275.84,182093,1
1,4.97,41.5,13.21,1.25,89.61,443.18,297004,2
1,5.51,31.36,23.92,4.45,71.24,526.8,262927,1
1,49.71,5.73,12.61,0.32,41.69,63.19,42122,1
1,11.27,48.07,46.31,0.91,104.37,566.64,354544,2
0,25.68,25.99,5.64,1.26,64.61,269.81,184667,1
0,30.34,34.88,14.98,2.49,85.7,420.77,258629,2
1,43.26,9.05,40.82,1.38,45.53,195.78,84978,1
0,20.26,43.52,10.73,3.51,98.93,521.25,321953,2
0,46.91,44.84,48.39,4.33,113.46,867.17,398005,2
0,28.75,1.56,43.48,0.83,18.01,89.29,26574,1
1,11.58,31.14,44.99,4.16,71.62,677.25,291333,1
1,16.72,14.61,49.24,5.68,41.64,704.73,214799,1
0,10.32,20.36,46.27,3.58,47.19,536.61,209421,1
1,15.16,2.57,31.36,2.36,16.84,185.08,49992,1
1,6.0,5.73,1.01,0.26,24.12,55.02,40734,1
0,24.92,39.33,4.55,0.3,89.86,398.08,277098,2
0,4.55,32.97,10.89,3.93,69.31,404.82,246691,1
1,27.4,35.24,17.43,4.0,87.54,488.43,274374,2
1,21.39,16.42,7.61,1.3,49.04,188.85,120940,1
0,37.46,38.73,38.3,3.98,94.69,687.18,331131,2
